00FR               20251118                                                                                   
0601FRA0N       20260101000610100000005000 0000000000001231   
0601FRA0N       20260101000615100000005000 0000000000001238   
0601FRA0N       20260101000620100000005000 0000000000001245   
0601FRA0N       20260101000625100000005000 0000000000001252   
0601FRA0N       20260101000630100000005000 0000000000001256   
0601FRA0N       20260101000635100000005000 0000000000001262   
0601FRA0N       20260101000640100000005000 0000000000001269   
0601FRA0N       20260101000645100000005000 0000000000001276   
0601FRA0N       20260101000650100000005000 0000000000001284   
0601FRA0N       20260101000655100000005000 0000000000001288   
0601FRA0N       20260101000660100000005000 0000000000001295   
0601FRA0N       20260101000665100000005000 0000000000001302   
0601FRA0N       20260101000670100000005000 0000000000001308   
0601FRA0N       20260101000675100000005000 0000000000001315   
0601FRA0N       20260101000680100000005000 0000000000001322   
0601FRA0N       20260101000685100000005000 0000000000001326   
0601FRA0N       20260101000690100000005000 0000000000001333   
0601FRA0N       20260101000695100000005000 0000000000001340   
0601FRA0N       20260101000700100000005000 0000000000001347   
0601FRA0N       20260101000705100000005000 0000000000001353   
0601FRA0N       20260101000710100000005000 0000000000001357   
0601FRA0N       20260101000715100000005000 0000000000001363   
0601FRA0N       20260101000720100000005000 0000000000001370   
0601FRA0N       20260101000725100000005000 0000000000001376   
0601FRA0N       20260101000730100000005000 0000000000001382   
0601FRA0N       20260101000735100000005000 0000000000001386   
0601FRA0N       20260101000740100000005000 0000000000001392   
0601FRA0N       20260101000745100000005000 0000000000001398   
0601FRA0N       20260101000750100000005000 0000000000001405   
0601FRA0N       20260101000755100000005000 0000000000001411   
0601FRA0N       20260101000760100000005000 0000000000001414   
0601FRA0N       20260101000765100000005000 0000000000001421   
0601FRA0N       20260101000770100000005000 0000000000001427   
0601FRA0N       20260101000775100000005000 0000000000001433   
0601FRA0N       20260101000780100000005000 0000000000001439   
0601FRA0N       20260101000785100000005000 0000000000001443   
0601FRA0N       20260101000790100000005000 0000000000001449   
0601FRA0N       20260101000795100000005000 0000000000001455   
0601FRA0N       20260101000800100000005000 0000000000001461   
0601FRA0N       20260101000805100000005000 0000000000001467   
0601FRA0N       20260101000810100000005000 0000000000001470   
0601FRA0N       20260101000815100000005000 0000000000001476   
0601FRA0N       20260101000820100000005000 0000000000001482   
0601FRA0N       20260101000825100000005000 0000000000001490   
0601FRA0N       20260101000830100000005000 0000000000001497   
0601FRA0N       20260101000835100000005000 0000000000001505   
0601FRA0N       20260101000840100000005000 0000000000001510   
0601FRA0N       20260101000845100000005000 0000000000001517   
0601FRA0N       20260101000850100000005000 0000000000001523   
0601FRA0N       20260101000855100000005000 0000000000001528   
0601FRA0N       20260101000860100000005000 0000000000001534   
0601FRA0N       20260101000865100000005000 0000000000001537   
0601FRA0N       20260101000870100000005000 0000000000001542   
0601FRA0N       20260101000875100000005000 0000000000001547   
0601FRA0N       20260101000880100000005000 0000000000001553   
0601FRA0N       20260101000885100000005000 0000000000001558   
0601FRA0N       20260101000890100000005000 0000000000001562   
0601FRA0N       20260101000895100000005000 0000000000001566   
0601FRA0N       20260101000900100000005000 0000000000001572   
0601FRA0N       20260101000905100000005000 0000000000001577   
0601FRA0N       20260101000910100000005000 0000000000001583   
0601FRA0N       20260101000915100000005000 0000000000001586   
0601FRA0N       20260101000920100000005000 0000000000001591   
0601FRA0N       20260101000925100000005000 0000000000001597   
0601FRA0N       20260101000930100000005000 0000000000001602   
0601FRA0N       20260101000935100000005000 0000000000001607   
0601FRA0N       20260101000940100000005000 0000000000001610   
0601FRA0N       20260101000945100000005000 0000000000001615   
0601FRA0N       20260101000950100000005000 0000000000001621   
0601FRA0N       20260101000955100000005000 0000000000001626   
0601FRA0N       20260101000960100000005000 0000000000001631   
0601FRA0N       20260101000965100000005000 0000000000001634   
0601FRA0N       20260101000970100000005000 0000000000001639   
0601FRA0N       20260101000975100000005000 0000000000001644   
0601FRA0N       20260101000980100000005000 0000000000001649   
0601FRA0N       20260101000985100000005000 0000000000001654   
0601FRA0N       20260101000990100000005000 0000000000001657   
0601FRA0N       20260101000995100000005000 0000000000001662   
0601FRA0N       20260101001000100000005000 0000000000001667   
0601FRA0N       20260101001005100000005000 0000000000001672   
0601FRA0N       20260101001010100000005000 0000000000001677   
0601FRA0N       20260101001015100000005000 0000000000001682   
0601FRA0N       20260101001020100000005000 0000000000001685   
0601FRA0N       20260101001025100000005000 0000000000001689   
0601FRA0N       20260101001030100000005000 0000000000001694   
0601FRA0N       20260101001035100000005000 0000000000001699   
0601FRA0N       20260101001040100000005000 0000000000001704   
0601FRA0N       20260101001045100000005000 0000000000001707   
0601FRA0N       20260101001050100000005000 0000000000001711   
0601FRA0N       20260101001055100000005000 0000000000001716   
0601FRA0N       20260101001060100000005000 0000000000001721   
0601FRA0N       20260101001065100000005000 0000000000001726   
0601FRA0N       20260101001070100000005000 0000000000001728   
0601FRA0N       20260101001075100000005000 0000000000001733   
0601FRA0N       20260101001080100000005000 0000000000001738   
0601FRA0N       20260101001085100000005000 0000000000001742   
0601FRA0N       20260101001090100000005000 0000000000001747   
0601FRA0N       20260101001095100000005000 0000000000001749   
0601FRA0N       20260101001100100000005000 0000000000001754   
0601FRA0N       20260101001105100000005000 0000000000001758   
0601FRA0N       20260101001110100000005000 0000000000001763   
0601FRA0N       20260101001115100000005000 0000000000001767   
0601FRA0N       20260101001120100000005000 0000000000001771   
0601FRA0N       20260101001125100000005000 0000000000001775   
0601FRA0N       20260101001130100000005000 0000000000001780   
0601FRA0N       20260101001135100000005000 0000000000001784   
0601FRA0N       20260101001140100000005000 0000000000001788   
0601FRA0N       20260101001145100000005000 0000000000001793   
0601FRA0N       20260101001150100000005000 0000000000001797   
0601FRA0N       20260101001155100000005000 0000000000001802   
0601FRA0N       20260101001160100000005000 0000000000001808   
0601FRA0N       20260101001165100000005000 0000000000001813   
0601FRA0N       20260101001170100000005000 0000000000001817   
0601FRA0N       20260101001175100000005000 0000000000001822   
0601FRA0N       20260101001180100000005000 0000000000001827   
0601FRA0N       20260101001185100000005000 0000000000001832   
0601FRA0N       20260101001190100000005000 0000000000001837   
0601FRA0N       20260101001195100000005000 0000000000001842   
0601FRA0N       20260101001200100000005000 0000000000001847   
0601FRA0N       20260101001205100000005000 0000000000001852   
0601FRA0N       20260101001210100000005000 0000000000001856   
0601FRA0N       20260101001215100000005000 0000000000001861   
