00JU               20251117                                                                                   
0601JUA0Y       20260101000635100000005000 0000000000001327   
0601JUA0Y       20260101000640100000005000 0000000000001334   
0601JUA0Y       20260101000645100000005000 0000000000001342   
0601JUA0Y       20260101000650100000005000 0000000000001349   
0601JUA0Y       20260101000655100000005000 0000000000001357   
0601JUA0Y       20260101000660100000005000 0000000000001364   
0601JUA0Y       20260101000665100000005000 0000000000001371   
0601JUA0Y       20260101000670100000005000 0000000000001378   
0601JUA0Y       20260101000675100000005000 0000000000001385   
0601JUA0Y       20260101000680100000005000 0000000000001392   
0601JUA0Y       20260101000685100000005000 0000000000001398   
0601JUA0Y       20260101000690100000005000 0000000000001405   
0601JUA0Y       20260101000695100000005000 0000000000001412   
0601JUA0Y       20260101000700100000005000 0000000000001418   
0601JUA0Y       20260101000705100000005000 0000000000001424   
0601JUA0Y       20260101000710100000005000 0000000000001431   
0601JUA0Y       20260101000715100000005000 0000000000001437   
0601JUA0Y       20260101000720100000005000 0000000000001443   
0601JUA0Y       20260101000725100000005000 0000000000001449   
0601JUA0Y       20260101000730100000005000 0000000000001455   
0601JUA0Y       20260101000735100000005000 0000000000001461   
0601JUA0Y       20260101000740100000005000 0000000000001467   
0601JUA0Y       20260101000745100000005000 0000000000001472   
0601JUA0Y       20260101000750100000005000 0000000000001478   
0601JUA0Y       20260101000755100000005000 0000000000001483   
0601JUA0Y       20260101000760100000005000 0000000000001489   
0601JUA0Y       20260101000765100000005000 0000000000001494   
0601JUA0Y       20260101000770100000005000 0000000000001500   
0601JUA0Y       20260101000775100000005000 0000000000001505   
0601JUA0Y       20260101000780100000005000 0000000000001510   
0601JUA0Y       20260101000785100000005000 0000000000001515   
0601JUA0Y       20260101000790100000005000 0000000000001520   
0601JUA0Y       20260101000795100000005000 0000000000001525   
0601JUA0Y       20260101000800100000005000 0000000000001530   
0601JUA0Y       20260101000805100000005000 0000000000001535   
0601JUA0Y       20260101000810100000005000 0000000000001540   
0601JUA0Y       20260101000815100000005000 0000000000001545   
0601JUA0Y       20260101000820100000005000 0000000000001549   
0601JUA0Y       20260101000825100000005000 0000000000001555   
0601JUA0Y       20260101000830100000005000 0000000000001562   
0601JUA0Y       20260101000835100000005000 0000000000001567   
0601JUA0Y       20260101000840100000005000 0000000000001573   
0601JUA0Y       20260101000845100000005000 0000000000001579   
0601JUA0Y       20260101000850100000005000 0000000000001585   
0601JUA0Y       20260101000855100000005000 0000000000001591   
0601JUA0Y       20260101000860100000005000 0000000000001596   
0601JUA0Y       20260101000865100000005000 0000000000001602   
0601JUA0Y       20260101000870100000005000 0000000000001608   
0601JUA0Y       20260101000875100000005000 0000000000001613   
0601JUA0Y       20260101000880100000005000 0000000000001618   
0601JUA0Y       20260101000885100000005000 0000000000001624   
0601JUA0Y       20260101000890100000005000 0000000000001630   
0601JUA0Y       20260101000895100000005000 0000000000001632   
0601JUA0Y       20260101000900100000005000 0000000000001638   
0601JUA0Y       20260101000905100000005000 0000000000001643   
0601JUA0Y       20260101000910100000005000 0000000000001648   
0601JUA0Y       20260101000915100000005000 0000000000001654   
0601JUA0Y       20260101000920100000005000 0000000000001659   
0601JUA0Y       20260101000925100000005000 0000000000001664   
0601JUA0Y       20260101000930100000005000 0000000000001669   
0601JUA0Y       20260101000935100000005000 0000000000001674   
0601JUA0Y       20260101000940100000005000 0000000000001679   
0601JUA0Y       20260101000945100000005000 0000000000001684   
0601JUA0Y       20260101000950100000005000 0000000000001691   
0601JUA0Y       20260101000955100000005000 0000000000001696   
0601JUA0Y       20260101000960100000005000 0000000000001701   
0601JUA0Y       20260101000965100000005000 0000000000001706   
0601JUA0Y       20260101000970100000005000 0000000000001711   
0601JUA0Y       20260101000975100000005000 0000000000001717   
0601JUA0Y       20260101000980100000005000 0000000000001726   
0601JUA0Y       20260101000985100000005000 0000000000001731   
0601JUA0Y       20260101000990100000005000 0000000000001737   
0601JUA0Y       20260101000995100000005000 0000000000001743   
0601JUA0Y       20260101001000100000005000 0000000000001749   
0601JUA0Y       20260101001005100000005000 0000000000001755   
0601JUA0Y       20260101001010100000005000 0000000000001762   
0601JUA0Y       20260101001015100000005000 0000000000001768   
0601JUA0Y       20260101001020100000005000 0000000000001774   
0601JUA0Y       20260101001025100000005000 0000000000001779   
0601JUA0Y       20260101001030100000005000 0000000000001784   
0601JUA0Y       20260101001035100000005000 0000000000001790   
0601JUA0Y       20260101001040100000005000 0000000000001797   
0601JUA0Y       20260101001045100000005000 0000000000001802   
0601JUA0Y       20260101001050100000005000 0000000000001808   
0601JUA0Y       20260101001055100000005000 0000000000001813   
0601JUA0Y       20260101001060100000005000 0000000000001818   
0601JUA0Y       20260101001065100000005000 0000000000001823   
0601JUA0Y       20260101001070100000005000 0000000000001830   
0601JUA0Y       20260101001075100000005000 0000000000001835   
0601JUA0Y       20260101001080100000005000 0000000000001840   
0601JUA0Y       20260101001085100000005000 0000000000001845   
0601JUA0Y       20260101001090100000005000 0000000000001850   
0601JUA0Y       20260101001095100000005000 0000000000001854   
0601JUA0Y       20260101001100100000005000 0000000000001861   
0601JUA0Y       20260101001105100000005000 0000000000001866   
0601JUA0Y       20260101001110100000005000 0000000000001870   
0601JUA0Y       20260101001115100000005000 0000000000001875   
0601JUA0Y       20260101001120100000005000 0000000000001880   
0601JUA0Y       20260101001125100000005000 0000000000001884   
0601JUA0Y       20260101001130100000005000 0000000000001891   
0601JUA0Y       20260101001135100000005000 0000000000001895   
0601JUA0Y       20260101001140100000005000 0000000000001900   
0601JUA0Y       20260101001145100000005000 0000000000001904   
0601JUA0Y       20260101001150100000005000 0000000000001909   
0601JUA0Y       20260101001155100000005000 0000000000001914   
0601JUA0Y       20260101001160100000005000 0000000000001922   
0601JUA0Y       20260101001165100000005000 0000000000001927   
0601JUA0Y       20260101001170100000005000 0000000000001931   
0601JUA0Y       20260101001175100000005000 0000000000001936   
0601JUA0Y       20260101001180100000005000 0000000000001941   
0601JUA0Y       20260101001185100000005000 0000000000001946   
0601JUA0Y       20260101001190100000005000 0000000000001953   
0601JUA0Y       20260101001195100000005000 0000000000001958   
0601JUA0Y       20260101001200100000005000 0000000000001963   
0601JUA0Y       20260101001205100000005000 0000000000001967   
0601JUA0Y       20260101001210100000005000 0000000000001972   
0601JUA0Y       20260101001215100000005000 0000000000001976   
0601JUA0Y       20260101001220100000005000 0000000000001983   
0601JUA0Y       20260101001225100000005000 0000000000001988   
0601JUA0Y       20260101001230100000005000 0000000000001992   
0601JUA0Y       20260101001235100000005000 0000000000001997   
0601JUA0Y       20260101001240100000005000 0000000000002001   
0601JUA0Y       20260101001245100000005000 0000000000002008   
0601JUA0Y       20260101001250100000005000 0000000000002012   
0601JUA0Y       20260101001255100000005000 0000000000002016   
0601JUA0Y       20260101001260100000005000 0000000000002020   
0601JUA0Y       20260101001265100000005000 0000000000002027   
0601JUA0Y       20260101001270100000005000 0000000000002031   
0601JUA0Y       20260101001275100000005000 0000000000002035   
0601JUA0Y       20260101001280100000005000 0000000000002039   
0601JUA0Y       20260101001285100000005000 0000000000002046   
0601JUA0Y       20260101001290100000005000 0000000000002050   
0601JUA0Y       20260101001295100000005000 0000000000002054   
0601JUA0Y       20260101001300100000005000 0000000000002060   
0601JUA0Y       20260101001305100000005000 0000000000002064   
0601JUA0Y       20260101001310100000005000 0000000000002068   
0601JUA0Y       20260101001315100000005000 0000000000002072   
0601JUA0Y       20260101001320100000005000 0000000000002078   
0601JUA0Y       20260101001325100000005000 0000000000002081   
0601JUA0Y       20260101001330100000005000 0000000000002085   
0601JUA0Y       20260101001335100000005000 0000000000002089   
0601JUA0Y       20260101001340100000005000 0000000000002095   
0601JUA0Y       20260101001345100000005000 0000000000002099   
0601JUA0Y       20260101001350100000005000 0000000000002102   
0601JUA0Y       20260101001355100000005000 0000000000002106   
0601JUA0Y       20260101001360100000005000 0000000000002112   
0601JUA0Y       20260101001365100000005000 0000000000002115   
0601JUA0Y       20260101001370100000005000 0000000000002119   
0601JUA0Y       20260101001375100000005000 0000000000002122   
0601JUA0Y       20260101001380100000005000 0000000000002128   
0601JUA0Y       20260101001385100000005000 0000000000002131   
0601JUA0Y       20260101001390100000005000 0000000000002135   
0601JUA0Y       20260101001395100000005000 0000000000002140   
0601JUA0Y       20260101001400100000005000 0000000000002143   
0601JUA0Y       20260101001405100000005000 0000000000002147   
0601JUA0Y       20260101001410100000005000 0000000000002150   
0601JUA0Y       20260101001415100000005000 0000000000002156   
0601JUA0Y       20260101001420100000005000 0000000000002159   
0601JUA0Y       20260101001425100000005000 0000000000002162   
0601JUA0Y       20260101001430100000005000 0000000000002165   
0601JUA0Y       20260101001435100000005000 0000000000002170   
0601JUA0Y       20260101001440100000005000 0000000000002174   
0601JUA0Y       20260101001445100000005000 0000000000002177   
0601JUA0Y       20260101001450100000005000 0000000000002180   
0601JUA0Y       20260101001455100000005000 0000000000002185   
0601JUA0Y       20260101001460100000005000 0000000000002188   
0601JUA0Y       20260101001465100000005000 0000000000002192   
0601JUA0Y       20260101001470100000005000 0000000000002196   
0601JUA0Y       20260101001475100000005000 0000000000002201   
